time,vehicle_id,real,origin,destination,position,flight_phase,velocity
2.6987950801849365,1002,True,2,3,[ 0.40850438 12.27415151  1.4       ],queued,[-0.56249787 -0.62983787 -0.05986321]
2.6987950801849365,1003,False,3,5,[-1.    -8.     1.095],queued,[-0.14167445 -0.39262421 -0.50131918]
2.6987950801849365,1004,False,4,2,[ 8.    -7.5    1.095],queued,[-0.5554271  -0.03688025 -0.6551221 ]
2.6987950801849365,1005,False,5,0,[-8.    8.    1.47],queued,[-0.1747302  -0.01447319 -0.59780637]
2.7875587940216064,1000,True,0,1,[-10.62356685  -6.23232319   1.1       ],queued,[ 0.94276743  0.70951111 -0.22904961]
2.7875587940216064,1001,True,1,4,[10.10867626 -4.70766796  1.3       ],queued,[-0.60788138  0.95558497  0.36070581]
2.7875587940216064,1002,True,2,3,[ 0.40850438 12.27415151  1.4       ],queued,[-0.56249787 -0.62983787 -0.05986321]
2.7875587940216064,1003,False,3,5,[-1.   -8.    1.17],queued,[-0.14167445 -0.39262421 -0.50131918]
2.7875587940216064,1004,False,4,2,[ 8.   -7.5   1.17],queued,[-0.5554271  -0.03688025 -0.6551221 ]
2.7875587940216064,1005,False,5,0,[-8.     8.     1.545],queued,[-0.1747302  -0.01447319 -0.59780637]
2.8852720260620117,1000,True,0,1,[-10.62356685  -6.23232319   1.1       ],queued,[ 0.94276743  0.70951111 -0.22904961]
2.8852720260620117,1001,True,1,4,[10.10608012 -4.70637108  1.4       ],queued,[-0.60788138  0.95558497  0.36070581]
2.8852720260620117,1002,True,2,3,[ 0.40330254 12.28070104  1.4       ],queued,[-0.56249787 -0.62983787 -0.05986321]
2.8852720260620117,1003,False,3,5,[-1.    -8.     1.245],queued,[-0.14167445 -0.39262421 -0.50131918]
2.8852720260620117,1004,False,4,2,[ 8.    -7.5    1.245],queued,[-0.5554271  -0.03688025 -0.6551221 ]
2.8852720260620117,1005,False,5,0,[-8.    8.    1.62],queued,[-0.1747302  -0.01447319 -0.59780637]
2.9914603233337402,1000,True,0,1,[-10.62112164  -6.24417458   1.1       ],queued,[ 0.94276743  0.70951111 -0.22904961]
2.9914603233337402,1001,True,1,4,[10.11183786 -4.701832    1.4       ],queued,[-0.60788138  0.95558497  0.36070581]
2.9914603233337402,1002,True,2,3,[ 0.39986395 12.28559039  1.4       ],queued,[-0.56249787 -0.62983787 -0.05986321]
2.9914603233337402,1003,False,3,5,[-1.   -8.    1.32],queued,[-0.14167445 -0.39262421 -0.50131918]
2.9914603233337402,1004,False,4,2,[ 8.   -7.5   1.32],queued,[-0.5554271  -0.03688025 -0.6551221 ]
2.9914603233337402,1005,False,5,0,[-8.     8.     1.695],queued,[-0.1747302  -0.01447319 -0.59780637]
3.0869057178497314,1000,True,0,1,[-10.61958193  -6.26092401   1.1       ],queued,[ 0.94276743  0.70951111 -0.22904961]
3.0869057178497314,1001,True,1,4,[10.10885868 -4.69588894  1.4       ],queued,[-0.60788138  0.95558497  0.36070581]
3.0869057178497314,1002,True,2,3,[ 0.39756582 12.28739024  1.4       ],queued,[-0.56249787 -0.62983787 -0.05986321]
3.0869057178497314,1003,False,3,5,[-1.    -8.     1.395],queued,[-0.14167445 -0.39262421 -0.50131918]
3.0869057178497314,1004,False,4,2,[ 8.    -7.5    1.395],queued,[-0.5554271  -0.03688025 -0.6551221 ]
3.0869057178497314,1005,False,5,0,[-8.    8.    1.77],queued,[-0.1747302  -0.01447319 -0.59780637]
3.185446262359619,1000,True,0,1,[-10.62402538  -6.26048109   1.1       ],queued,[ 0.94276743  0.70951111 -0.22904961]
3.185446262359619,1001,True,1,4,[10.10094701 -4.68218488  1.4       ],queued,[-0.60788138  0.95558497  0.36070581]
3.185446262359619,1002,True,2,3,[ 0.39668134 12.28720425  1.4       ],queued,[-0.56249787 -0.62983787 -0.05986321]
3.185446262359619,1003,False,3,5,[-1.   -8.    1.47],queued,[-0.14167445 -0.39262421 -0.50131918]
3.185446262359619,1004,False,4,2,[ 8.   -7.5   1.47],queued,[-0.5554271  -0.03688025 -0.6551221 ]
3.185446262359619,1005,False,5,0,[-8.     8.     1.845],queued,[-0.1747302  -0.01447319 -0.59780637]
